"경기도","여자",687143,205817,188855,142364,86373,43431,20303,718851,215222,190091,150622,92928,48360,21628,754096,227685,192391,155245,101984,52913,23878,783876,231200,194757,163909,111193,56741,26076,833189,246934,199381,177786,118691,61475,28922,878850,259866,209862,183259,127601,66161,32101,933557,282601,220364,185848,136354,72399,35991,1000686,318713,232547,188283,141512,79988,39643,1063641,357276,235076,190708,149906,87635,43040,1126314,381467,249755,195053,161694,92706,45639
"강원특별자치도","계",246869,72294,73474,52667,28169,14001,6264,253093,71828,72745,56430,30209,15094,6787,258879,71745,71601,59209,32701,16264,7359,263361,70459,70108,61726,35991,17198,7879,277367,76810,69043,65661,39063,18230,8560,286846,80043,69794,65911,42478,19304,9316,300540,88332,69491,65707,45902,20920,10188,317164,99980,69464,65140,48563,22874,11143,333451,112572,68429,64133,51023,25416,11878,351424,119080,74933,63548,54361,27191,12311
"강원특별자치도","남자",102158,34063,32323,21373,8889,3837,1673,105055,34174,32117,23244,9749,3940,1831,107759,34186,31873,24601,10992,4193,1914,109876,33497,31620,25721,12551,4525,1962,116800,36791,31585,27397,14125,4868,2034,121702,38708,32283,27574,15694,5300,2143,128809,43174,32538,27709,17310,5833,2245,137339,49395,32562,27745,18539,6682,2416,145611,56050,31951,27764,19502,7774,2570,155145,59796,35223,28062,20851,8542,2671
"강원특별자치도","여자",144711,38231,41151,31294,19280,10164,4591,148038,37654,40628,33186,20460,11154,4956,151120,37559,39728,34608,21709,12071,5445,153485,36962,38488,36005,23440,12673,5917,160567,40019,37458,38264,24938,13362,6526,165144,41335,37511,38337,26784,14004,7173,171731,45158,36953,37998,28592,15087,7943,179825,50585,36902,37395,30024,16192,8727,187840,56522,36478,36369,31521,17642,9308,196279,59284,39710,35486,33510,18649,9640
"충청북도","계",220933,62343,64284,49701,27329,12100,5176,227651,63979,62808,52162,29831,13408,5463,233730,66179,61976,52199,32991,14466,5919,239740,68103,60096,53618,36146,15484,6293,251752,73751,58426,57548,38375,16711,6941,261249,77066,60226,57942,40078,18387,7550,273478,83552,61943,56844,42458,20229,8452,288730,93478,64226,56420,42802,22604,9200,303712,104035,65826,54777,44315,24959,9800,320214,111040,71318,53430,47567,26379,10480
"충청북도","남자",90343,29727,27965,19485,8608,3403,1155,93639,31028,27322,20752,9671,3643,1223,96690,32219,27256,21020,11033,3852,1310,99655,33198,26836,21754,12420,4041,1406,105840,36205,26630,23599,13414,4447,1545,110739,37854,28055,23908,14251,5001,1670,116939,41034,29440,23499,15399,5718,1849,124694,46102,30618,23622,15764,6607,1981,132595,51664,31463,23376,16541,7450,2101,141308,55419,34347,23346,17887,8037,2272
"충청북도","여자",130590,32616,36319,30216,18721,8697,4021,134012,32951,35486,31410,20160,9765,4240,137040,33960,34720,31179,21958,10614,4609,140085,34905,33260,31864,23726,11443,4887,145912,37546,31796,33949,24961,12264,5396,150510,39212,32171,34034,25827,13386,5880,156539,42518,32503,33345,27059,14511,6603,164036,47376,33608,32798,27038,15997,7219,171117,52371,34363,31401,27774,17509,7699,178906,55621,36971,30084,29680,18342,8208
"충청남도","계",318457,85183,88446,74772,42994,18946,8116,329207,89207,86071,77229,47164,20895,8641,339888,96115,84256,75838,51972,22417,9290,348924,99802,81793,76720,56422,24298,9889,362321,103884,79654,81961,58677,27325,10820,372361,105047,83464,80720,61520,29732,11878,387370,110643,87611,79107,63997,32854,13158,406300,120453,94183,77500,63192,36570,14402,424133,130693,97818,75418,64445,39893,15866,442733,139223,101822,73976,68839,41257,17616
"충청남도","남자",131245,40869,37986,29917,15053,5587,1833,136490,43555,37131,30898,16819,6145,1942,141643,47018,36794,30554,18656,6525,2096,146182,48743,36719,30944,20474,7084,2218,152715,50682,36783,33264,21406,8136,2444,157785,51323,39284,32953,22500,9030,2695,165246,53955,41942,32649,23469,10257,2974,174932,59076,45150,32531,23375,11504,3296,184030,64290,46858,32608,23929,12671,3674,194006,69106,48804,32990,25787,13199,4120
"충청남도","여자",187212,44314,50460,44855,27941,13359,6283,192717,45652,48940,46331,30345,14750,6699,198245,49097,47462,45284,33316,15892,7194,202742,51059,45074,45776,35948,17214,7671,209606,53202,42871,48697,37271,19189,8376,214576,53724,44180,47767,39020,20702,9183,222124,56688,45669,46458,40528,22597,10184,231368,61377,49033,44969,39817,25066,11106,240103,66403,50960,42810,40516,27222,12192,248727,70117,53018,40986,43052,28058,13496
"전라북도","계",310841,87144,87929,69100,40550,17996,8122,320492,91552,84964,71561,44028,20001,8386,331540,98391,83464,70989,48003,22074,8619,339213,99745,82049,73274,51120,23819,9206,349534,99716,80049,80338,53574,25443,10414,356693,99891,83210,79029,55741,27408,11414,369101,104194,87547,76764,58119,29971,12506,384777,110171,94209,75537,58173,32998,13689,398057,116813,95682,74621,60511,35338,15092,412029,123496,95670,73255,66642,36979,15987
"전라북도","남자",124583,41258,36881,26545,13218,5072,1609,129041,43598,35881,27657,14546,5634,1725,134449,47080,35739,27616,16137,6088,1789,138430,47844,35902,28850,17423,6458,1953,143732,47868,36219,31847,18535,6998,2265,147622,48143,38299,31451,19547,7742,2440,153946,50569,40598,30868,20587,8575,2749,161936,53595,43977,30897,20781,9724,2962,168999,57086,44850,31247,21928,10631,3257,176589,60848,44873,31889,24362,11158,3459
"전라북도","여자",186258,45886,51048,42555,27332,12924,6513,191451,47954,49083,43904,29482,14367,6661,197091,51311,47725,43373,31866,15986,6830,200783,51901,46147,44424,33697,17361,7253,205802,51848,43830,48491,35039,18445,8149,209071,51748,44911,47578,36194,19666,8974,215155,53625,46949,45896,37532,21396,9757,222841,56576,50232,44640,37392,23274,10727,229058,59727,50832,43374,38583,24707,11835,235440,62648,50797,41366,42280,25821,12528
