"시도별(1)","성별(1)",2013,2013,2013,2013,2013,2013,2013,2013,2014,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022
"시도별(1)","성별(1)",계,치매(F00-F03자01),파킨슨병(G20-G23),알츠하이머(G30),뇌질환등(I60-I69다04),중풍후유증(U23.4다06),진전(R25.1),기타,계,치매(F00-F03자01),파킨슨병(G20-G23),알츠하이머(G30),뇌질환등(I60-I69다04),중풍후유증(U23.4다06),진전(R25.1),기타,계,치매(F00-F03자01),파킨슨병(G20-G23),알츠하이머(G30),뇌질환등(I60-I69다04),중풍후유증(U23.4다06),진전(R25.1),기타,계,치매(F00-F03자01),파킨슨병(G20-G23),알츠하이머(G30),뇌질환등(I60-I69다04),중풍후유증(U23.4다06),진전(R25.1),기타,계,치매(F00-F03자01),파킨슨병(G20-G23),알츠하이머(G30),뇌질환등(I60-I69다04),중풍후유증(U23.4다06),진전(R25.1),기타,계,치매(F00-F03자01),파킨슨병(G20-G23),알츠하이머(G30),뇌질환등(I60-I69다04),중풍후유증(U23.4다06),진전(R25.1),기타,계,치매(F00-F03자01),파킨슨병(G20-G23),알츠하이머(G30),뇌질환등(I60-I69다04),중풍후유증(U23.4다06),진전(R25.1),기타,계,치매(F00-F03자01),파킨슨병(G20-G23),알츠하이머(G30),뇌질환등(I60-I69다04),중풍후유증(U23.4다06),진전(R25.1),기타,계,치매(F00-F03자01),파킨슨병(G20-G23),알츠하이머(G30),뇌질환등(I60-I69다04),중풍후유증(U23.4다06),진전(R25.1),기타,계,치매(F00-F03자01),파킨슨병(G20-G23),알츠하이머(G30),뇌질환등(I60-I69다04),중풍후유증(U23.4다06),진전(R25.1),기타
"경기도","남자",5054,918,314,23,3644,66,7,82,5305,1037,314,28,3758,56,8,104,5704,1188,350,25,3935,55,11,140,5985,1315,362,29,4075,44,14,146,6383,1463,400,37,4230,40,14,199,6920,1304,406,61,4417,43,14,675,7485,1564,474,87,4684,40,14,622,7834,1731,489,101,4802,39,15,657,8166,1893,518,117,4876,33,15,714,8229,1987,529,128,4768,28,20,769
"경기도","여자",3647,818,368,26,2286,53,13,83,3836,911,385,31,2352,42,12,103,4020,983,398,38,2413,46,14,128,4221,1053,446,56,2457,44,15,150,4435,1160,465,62,2495,37,18,198,4691,967,454,70,2545,33,21,601,5001,1156,475,90,2654,32,21,573,5224,1276,506,109,2706,25,23,579,5348,1395,525,140,2634,25,20,609,5339,1426,547,161,2536,18,18,633
"강원특별자치도","계",1651,317,97,5,1161,31,0,40,1733,352,96,5,1196,30,3,51,1827,400,101,7,1239,23,5,52,1953,444,106,12,1302,21,6,62,2083,469,121,16,1378,19,5,75,2145,384,129,18,1376,18,6,214,2343,479,143,21,1461,18,4,217,2358,509,163,18,1427,15,5,221,2404,551,171,21,1394,14,8,245,2382,569,164,33,1335,13,10,258
"강원특별자치도","남자",1008,178,46,1,740,20,0,23,1064,209,46,1,767,18,2,21,1138,231,52,2,810,15,3,25,1227,257,55,5,860,16,3,31,1320,273,61,7,920,16,1,42,1343,231,62,8,916,15,2,109,1478,293,70,10,970,15,2,118,1498,319,84,6,952,12,3,122,1502,338,85,6,922,11,4,136,1486,351,79,10,889,10,4,143
"강원특별자치도","여자",643,139,51,4,421,11,0,17,669,143,50,4,429,12,1,30,689,169,49,5,429,8,2,27,726,187,51,7,442,5,3,31,763,196,60,9,458,3,4,33,802,153,67,10,460,3,4,105,865,186,73,11,491,3,2,99,860,190,79,12,475,3,2,99,902,213,86,15,472,3,4,109,896,218,85,23,446,3,6,115
"충청북도","계",1338,289,85,10,914,16,4,20,1421,326,97,13,934,14,6,31,1477,342,106,12,962,11,5,39,1568,384,113,15,994,9,5,48,1653,395,126,23,1028,11,4,66,1803,344,145,27,1085,10,4,188,1999,443,158,32,1173,8,4,181,2095,519,160,39,1174,6,7,190,2161,583,149,44,1162,7,6,210,2165,601,159,50,1120,9,4,222
"충청북도","남자",759,151,32,2,551,10,4,9,826,185,36,3,575,9,5,13,868,199,41,4,593,6,4,21,931,234,44,7,614,5,4,23,977,240,47,12,631,7,3,37,1056,213,54,8,674,6,3,98,1186,274,61,12,737,5,3,94,1246,320,62,19,733,4,5,103,1268,346,57,20,722,4,4,115,1285,362,62,27,704,5,2,123
"충청북도","여자",579,138,53,8,363,6,0,11,595,141,61,10,359,5,1,18,609,143,65,8,369,5,1,18,637,150,69,8,380,4,1,25,676,155,79,11,397,4,1,29,747,131,91,19,411,4,1,90,813,169,97,20,436,3,1,87,849,199,98,20,441,2,2,87,893,237,92,24,440,3,2,95,880,239,97,23,416,4,2,99
"충청남도","계",1813,402,152,6,1191,32,2,28,1838,439,146,6,1167,25,2,53,1878,477,148,5,1162,20,4,62,1915,493,147,12,1170,16,4,73,2004,539,156,21,1183,14,4,87,2128,444,178,29,1192,15,6,264,2323,532,206,35,1271,14,7,258,2415,577,215,35,1311,14,10,253,2472,644,215,36,1304,11,11,251,2510,688,218,34,1272,11,11,276
"충청남도","남자",1055,221,64,1,741,14,0,14,1059,235,63,1,717,11,0,32,1086,250,67,1,721,10,1,36,1117,261,72,6,730,8,2,38,1159,285,77,9,734,9,1,44,1214,237,87,12,731,9,1,137,1339,296,104,13,785,8,1,132,1391,320,100,15,817,7,1,131,1426,347,102,18,813,6,3,137,1476,393,108,17,793,6,3,156
"충청남도","여자",758,181,88,5,450,18,2,14,779,204,83,5,450,14,2,21,792,227,81,4,441,10,3,26,798,232,75,6,440,8,2,35,845,254,79,12,449,5,3,43,914,207,91,17,461,6,5,127,984,236,102,22,486,6,6,126,1024,257,115,20,494,7,9,122,1046,297,113,18,491,5,8,114,1034,295,110,17,479,5,8,120
"전라북도","계",1929,378,149,11,1319,33,1,38,1979,391,160,15,1322,30,1,60,2070,425,172,13,1354,28,0,78,2190,489,197,17,1353,23,0,111,2269,506,205,15,1406,19,1,117,2412,442,191,16,1455,21,1,286,2583,531,204,27,1519,17,2,283,2641,582,194,31,1531,15,4,284,2693,621,204,41,1495,13,5,314,2661,625,211,46,1457,9,4,309
"전라북도","남자",1099,201,71,7,783,17,0,20,1142,211,75,12,794,16,0,34,1196,221,86,10,818,14,0,47,1248,248,98,13,812,12,0,65,1301,262,99,9,860,8,0,63,1401,231,98,9,902,9,-,152,1507,283,111,13,950,8,-,142,1547,313,104,16,960,7,1,146,1566,320,102,18,954,6,2,164,1546,315,109,22,925,4,1,170
"전라북도","여자",830,177,78,4,536,16,1,18,837,180,85,3,528,14,1,26,874,204,86,3,536,14,0,31,942,241,99,4,541,11,0,46,968,244,106,6,546,11,1,54,1011,211,93,7,553,12,1,134,1076,248,93,14,569,9,2,141,1094,269,90,15,571,8,3,138,1127,301,102,23,541,7,3,150,1115,310,102,24,532,5,3,139
"전라남도","계",1688,356,131,9,1088,53,10,41,1742,390,145,10,1056,44,10,87,1752,406,144,10,1051,38,11,92,1780,414,160,14,1048,36,11,97,1901,441,185,16,1095,33,12,119,1964,357,177,17,1138,27,11,237,2103,436,185,22,1177,24,13,246,2181,502,185,27,1194,20,11,242,2191,535,190,29,1153,18,8,258,2243,574,177,35,1135,13,9,300
"전라남도","남자",949,195,56,3,644,23,4,24,977,208,60,2,627,20,5,55,988,215,60,2,630,19,5,57,1003,217,65,5,632,19,5,60,1069,235,72,4,660,17,5,76,1110,186,67,5,700,14,3,135,1211,238,71,8,742,13,6,133,1261,275,76,9,755,10,6,130,1288,291,91,12,735,10,5,144,1320,306,86,14,732,8,5,169
"전라남도","여자",739,161,75,6,444,30,6,17,765,182,85,8,429,24,5,32,764,191,84,8,421,19,6,35,777,197,95,9,416,17,6,37,832,206,113,12,435,16,7,43,854,171,110,12,438,13,8,102,892,198,114,14,435,11,7,113,920,227,109,18,439,10,5,112,903,244,99,17,418,8,3,114,923,268,91,21,403,5,4,131
"경상북도","계",2548,515,155,14,1746,45,7,66,2624,566,174,12,1738,38,6,90,2658,584,185,12,1733,33,7,104,2794,663,208,16,1754,33,7,113,2882,724,222,19,1745,29,6,137,2958,575,231,26,1744,27,6,349,3162,710,257,40,1792,24,9,330,3253,775,266,48,1797,20,9,338,3358,862,262,50,1797,18,11,358,3365,911,255,51,1751,14,13,370
"경상북도","남자",1478,281,65,5,1066,27,3,31,1521,312,69,4,1068,25,2,41,1528,312,80,6,1051,23,2,54,1626,369,89,6,1072,24,3,63,1704,411,110,8,1075,21,2,77,1770,342,113,12,1097,21,3,182,1874,388,122,19,1142,18,4,181,1951,443,125,22,1158,15,3,185,2000,498,121,25,1153,13,4,186,2006,514,116,23,1140,10,5,198
"경상북도","여자",1070,234,90,9,680,18,4,35,1103,254,105,8,670,13,4,49,1130,272,105,6,682,10,5,50,1168,294,119,10,682,9,4,50,1178,313,112,11,670,8,4,60,1188,233,118,14,647,6,3,167,1288,322,135,21,650,6,5,149,1302,332,141,26,639,5,6,153,1358,364,141,25,644,5,7,172,1359,397,139,28,611,4,8,172
"경상남도","계",2557,528,200,15,1684,40,5,85,2644,576,212,14,1718,30,5,89,2708,608,212,12,1713,29,4,130,2820,656,218,17,1744,27,6,152,2962,690,246,31,1775,25,6,189,3019,546,228,32,1755,25,7,426,3270,677,250,45,1852,21,11,414,3487,789,282,54,1922,21,7,412,3531,856,304,59,1839,19,6,448,3622,892,291,80,1815,15,7,522
"경상남도","남자",1412,280,73,6,991,16,3,43,1439,299,75,4,996,13,3,49,1454,301,77,4,993,13,3,63,1532,322,84,6,1021,12,3,84,1608,337,105,12,1040,10,3,101,1644,286,92,12,1027,11,5,211,1816,359,115,23,1099,9,7,204,1943,403,135,27,1160,8,4,206,1963,442,149,30,1108,10,3,221,2041,466,136,40,1119,8,4,268
"경상남도","여자",1145,248,127,9,693,24,2,42,1205,277,137,10,722,17,2,40,1254,307,135,8,720,16,1,67,1288,334,134,11,723,15,3,68,1354,353,141,19,735,15,3,88,1375,260,136,20,728,14,2,215,1454,318,135,22,753,12,4,210,1544,386,147,27,762,13,3,206,1568,414,155,29,731,9,3,227,1581,426,155,40,696,7,3,254
"제주특별자치도","계",447,126,26,3,274,2,1,15,474,136,28,3,293,1,1,12,495,136,29,3,303,1,1,22,521,154,34,4,304,1,1,23,546,158,34,5,321,1,1,26,566,111,30,6,331,1,1,86,604,133,28,9,347,1,-,86,609,139,29,11,346,1,-,83,653,158,31,12,363,1,-,88,649,160,32,9,352,1,0,95
"제주특별자치도","남자",264,74,11,1,169,1,0,8,279,77,14,1,180,1,0,6,295,81,14,1,190,1,0,8,314,92,21,1,188,1,0,11,330,89,21,1,205,1,0,13,343,67,15,2,212,1,-,46,379,83,18,4,230,1,-,43,385,87,16,5,236,1,-,40,412,95,16,5,249,1,-,46,412,95,16,5,248,1,0,47
"제주특별자치도","여자",183,52,15,2,105,1,1,7,195,59,14,2,113,0,1,6,200,55,15,2,113,0,1,14,207,62,13,3,116,0,1,12,216,69,13,4,116,0,1,13,223,44,15,4,119,-,1,40,225,50,10,5,117,-,-,43,224,52,13,6,110,-,-,43,241,63,15,7,114,-,-,42,237,65,16,4,104,0,0,48
