"연령별(1)","성별(1)",2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022
"연령별(1)","성별(1)",계,계,계,계,계,암질환,암질환,암질환,암질환,암질환,뇌혈관,뇌혈관,뇌혈관,뇌혈관,뇌혈관,심장질환,심장질환,심장질환,심장질환,심장질환,희귀난치성질환,희귀난치성질환,희귀난치성질환,희귀난치성질환,희귀난치성질환,중증화상,중증화상,중증화상,중증화상,중증화상,중증외상,중증외상,중증외상,중증외상,중증외상,중증치매,중증치매,중증치매,중증치매,중증치매,결핵,결핵,결핵,결핵,결핵,잠복결핵,잠복결핵,잠복결핵,잠복결핵,잠복결핵
"연령별(1)","성별(1)",진료실인원수 (명),입내원일수 (일),요양급여일수 (일),진료비 (천원),급여비 (천원),진료실인원수 (명),입내원일수 (일),요양급여일수 (일),진료비 (천원),급여비 (천원),진료실인원수 (명),입내원일수 (일),요양급여일수 (일),진료비 (천원),급여비 (천원),진료실인원수 (명),입내원일수 (일),요양급여일수 (일),진료비 (천원),급여비 (천원),진료실인원수 (명),입내원일수 (일),요양급여일수 (일),진료비 (천원),급여비 (천원),진료실인원수 (명),입내원일수 (일),요양급여일수 (일),진료비 (천원),급여비 (천원),진료실인원수 (명),입내원일수 (일),요양급여일수 (일),진료비 (천원),급여비 (천원),진료실인원수 (명),입내원일수 (일),요양급여일수 (일),진료비 (천원),급여비 (천원),진료실인원수 (명),입내원일수 (일),요양급여일수 (일),진료비 (천원),급여비 (천원),진료실인원수 (명),입내원일수 (일),요양급여일수 (일),진료비 (천원),급여비 (천원)
"50 - 54세","계",224055,5263673,55260334,1724986527,1565745621,130442,3040641,28668225,1009719721,919393328,4930,75506,152851,76353660,70463764,8134,50422,171006,124255105,115742347,78195,2010192,25520903,493726825,440580302,226,7409,12088,3456233,2954238,337,4976,7878,7028120,6463216,160,4804,45408,586029,501229,2110,37368,305995,8637253,8426052,5052,32355,375980,1223582,1221145
"50 - 54세","남자",85370,2068755,18986937,798853158,728513765,39817,898029,6838759,357404883,328200069,2660,43748,82019,40591132,37447305,6730,40909,142291,102189868,95303210,35387,1041433,11589866,283660598,253535354,137,4235,6111,2249750,1928182,270,4048,6378,5712437,5251873,44,1841,11363,209730,178583,1409,26545,209133,6532662,6367522,1301,7967,101017,302098,301667
"50 - 54세","여자",138685,3194918,36273397,926133369,837231856,90625,2142612,21829466,652314838,591193259,2270,31758,70832,35762528,33016459,1404,9513,28715,22065237,20439137,42808,968759,13931037,210066227,187044948,89,3174,5977,1206483,1026057,67,928,1500,1315683,1211342,116,2963,34045,376299,322646,701,10823,96862,2104591,2058530,3751,24388,274963,921484,919478
"55 - 59세","계",241092,6004616,58975469,1997342933,1818167536,139323,3405607,29435995,1166414831,1067308636,6266,94311,194059,93830281,86529515,10619,66290,227318,160232525,149248678,83282,2329456,28198427,550076358,490210149,255,8464,13580,4338423,3767304,473,7076,11332,9580981,8783816,573,19226,169707,2304972,1979695,2263,40457,328914,9211973,8991054,5267,33729,396137,1352588,1348688
"55 - 59세","남자",105079,2700427,23095068,1030990542,941279111,55364,1336058,9818841,522237083,479928113,3459,56440,106826,50557427,46613832,8650,52475,186410,128499105,119791396,37269,1196479,12550049,309950013,276544054,161,5267,8329,2886860,2525381,394,5977,9312,8244470,7562238,190,7245,52078,809824,691666,1651,30898,242801,7403928,7221885,1533,9588,120422,401833,400545
"55 - 59세","여자",136013,3304189,35880401,966352391,876888425,83959,2069549,19617154,644177749,587380523,2807,37871,87233,43272854,39915683,1969,13815,40908,31733420,29457282,46013,1132977,15648378,240126345,213666095,94,3197,5251,1451563,1241923,79,1099,2020,1336512,1221578,383,11981,117629,1495148,1288028,612,9559,86113,1808045,1769170,3734,24141,275715,950755,948144
"60 - 64세","계",314707,8264677,77978339,2751535129,2508019224,184083,4667304,38778129,1610370123,1477034641,8572,125034,260326,121982019,112404595,15859,102900,347940,243330325,226454488,107859,3218488,37359625,740862153,659848686,285,9677,15145,4688168,4039444,553,8531,13131,11004377,10105612,1482,50056,427481,6142462,5282965,2781,50335,396943,11748535,11449249,4653,32352,379619,1406967,1399544
"60 - 64세","남자",152634,4137204,34386916,1531012927,1398367272,88493,2239899,16675992,840533593,772575014,4670,71725,139186,63494330,58551318,12312,77092,270225,186605441,173783676,48566,1665328,16707679,416469591,371242583,164,5818,8814,2774314,2411628,471,7358,11265,9247411,8492024,561,20984,148456,2494101,2137142,2009,37195,286049,8826590,8608054,1738,11805,139250,567555,565833
"60 - 64세","여자",162073,4127473,43591423,1220522203,1109651952,95590,2427405,22102137,769836530,704459627,3902,53309,121140,58487689,53853277,3547,25808,77715,56724885,52670813,59293,1553160,20651946,324392562,288606104,121,3859,6331,1913854,1627816,82,1173,1866,1756966,1613587,921,29072,279025,3648360,3145823,772,13140,110894,2921945,2841195,2915,20547,240369,839413,833711
"65 - 69세","계",304911,8446947,77195637,2801309250,2557565384,179200,4617960,38406575,1630859055,1499999339,8808,131849,268314,124305631,114608642,16690,115640,379141,260885589,242397352,105609,3437890,36886051,751720882,669697716,226,7568,13013,3695699,3178315,479,7031,11464,9114659,8360961,2361,63086,660388,8337528,7242478,2600,49097,376402,11632710,11327480,2352,16826,194289,757499,753102
